"play","pause","prop"
"Midsummer Night's Drm","third",0.04321608040201
"Much Ado","third",0.0683060109289618
"Othello","third",0.0408977556109726
"Pericles","third",0.0366132723112128
"Richard 2","third",0.0493962678375412
"Richard 3","third",0.0493421052631579
"Romeo and Juliet","third",0.039417828987265
"Sir Thomas More Iid","third",0
"Spanish Tragedy Add.","third",0.0655737704918033
"Taming of the Shrew","third",0.0446976336546889
"Tempest","third",0.0349002849002849
"Timon","third",0.0368200836820084
"Titus Andronicus","third",0.0535564853556485
"Troilus and Cressida","third",0.0449591280653951
"Twelfth Night","third",0.0473588342440801
"Two Gentlemen Verona","third",0.0666666666666667
"Two NobleKinsmen","third",0.0167832167832168
"Winter's Tale","third",0.0352781546811398
"1 Henry 4","fourth",0.251012145748988
"1 Henry 6","fourth",0.298850574712644
"2 Henry 4","fourth",0.255639097744361
"2 Henry 6","fourth",0.312459651387992
"3 Henry 6","fourth",0.328463713477851
"All's Well","fourth",0.233219567690557
"Antony and Cleopatra","fourth",0.173076923076923
"As You Like It","fourth",0.281090289608177
"Comedy of Errors","fourth",0.293213828425096
"Coriolanus","fourth",0.185763042418333
"Cymbeline","fourth",0.157952468007313
"Edward 3","fourth",0.395348837209302
"Hamlet","fourth",0.264314247669774
"Henry 5","fourth",0.259124087591241
"Henry 8","fourth",0.153241650294695
"Julius Caesar","fourth",0.236032642812304
"King John","fourth",0.285067873303167
"King Lear","fourth",0.237424547283702
"Love's Labour's Lost","fourth",0.330508474576271
"Macbeth","fourth",0.206579954093344
"Measure for Measure","fourth",0.223140495867769
"Merchant of Venice","fourth",0.271457085828343
"Merry Wives","fourth",0.254166666666667
"Midsummer Night's Drm","fourth",0.301507537688442
"Much Ado","fourth",0.245901639344262
"Othello","fourth",0.270324189526185
"Pericles","fourth",0.183066361556064
"Richard 2","fourth",0.311745334796926
"Richard 3","fourth",0.279605263157895
"Romeo and Juliet","fourth",0.343844754396604
"Sir Thomas More Iid","fourth",0.28125
"Spanish Tragedy Add.","fourth",0.180327868852459
"Taming of the Shrew","fourth",0.35056967572305
"Tempest","fourth",0.189458689458689
"Timon","fourth",0.231799163179916
"Titus Andronicus","fourth",0.352301255230126
"Troilus and Cressida","fourth",0.299046321525886
"Twelfth Night","fourth",0.247723132969035
"Two Gentlemen Verona","fourth",0.270175438596491
