"prop","pause","play"
0.254166666666667,"fourth","Merry Wives"
0.245901639344262,"fourth","Much Ado"
0.259124087591241,"fourth","Henry 5"
0.236032642812304,"fourth","Julius Caesar"
0.281090289608177,"fourth","As You Like It"
0.264314247669774,"fourth","Hamlet"
0.247723132969035,"fourth","Twelfth Night"
0.184357541899441,"fourth","Spanish Tragedy Add."
0.299046321525886,"fourth","Troilus and Cressida"
0.223140495867769,"fourth","Measure for Measure"
0.270324189526185,"fourth","Othello"
0.28125,"fourth","Sir Thomas More Iid"
0.233219567690557,"fourth","Alls Well"
0.206593406593407,"fourth","Timon"
0.237424547283702,"fourth","King Lear"
0.173076923076923,"fourth","Antony and Cleopatra"
0.206579954093344,"fourth","Macbeth"
0.183066361556064,"fourth","Pericles"
0.185763042418333,"fourth","Coriolanus"
0.171867933061963,"fourth","Winters Tale"
0.157952468007313,"fourth","Cymbeline"
0.189458689458689,"fourth","Tempest"
0.153241650294695,"fourth","Henry 8"
0.155244755244755,"fourth","Two Noble Kinsmen"
0.193689745836985,"fifth","Taming of the Shrew"
0.150877192982456,"fifth","Two Gentlemen Verona"
0.148711169861203,"fifth","2 Henry 6"
0.149275362318841,"fifth","3 Henry 6"
0.203480589022758,"fifth","1 Henry 6"
0.176610978520286,"fifth","Titus Andronicus"
0.176809210526316,"fifth","Richard 3"
0.205980066445183,"fifth","Edward 3"
0.179257362355954,"fifth","Comedy of Errors"
0.186440677966102,"fifth","Loves Labours Lost"
0.230150753768844,"fifth","Midsummer Nights Dream"
0.177277716794731,"fifth","Richard 2"
0.195876288659794,"fifth","Romeo and Juliet"
0.203619909502262,"fifth","King John"
0.189271255060729,"fifth","1 Henry 4"
0.205588822355289,"fifth","Merchant of Venice"
0.162406015037594,"fifth","2 Henry 4"
0.141666666666667,"fifth","Merry Wives"
0.188524590163934,"fifth","Much Ado"
0.180656934306569,"fifth","Henry 5"
0.195229127432517,"fifth","Julius Caesar"
0.189097103918228,"fifth","As You Like It"
0.149800266311585,"fifth","Hamlet"
0.182149362477231,"fifth","Twelfth Night"
0.17877094972067,"fifth","Spanish Tragedy Add."
0.145095367847411,"fifth","Troilus and Cressida"
0.143250688705234,"fifth","Measure for Measure"
0.118703241895262,"fifth","Othello"
0.1875,"fifth","Sir Thomas More Iid"
