"prop","pause","play","titles"
0.0239520958083832,"8",16,"Merchant of Venice"
0.0593984962406015,"8",17,"2 Henry 4"
0.0625,"8",18,"Merry Wives"
0.0327868852459016,"8",19,"Much Ado"
0.0465328467153285,"8",20,"Henry 5"
0.0382925298179535,"8",21,"Julius Caesar"
0.0357751277683135,"8",22,"As You Like It"
0.0439414114513981,"8",23,"Hamlet"
0.0710382513661202,"8",24,"Twelfth Night"
0.0446927374301676,"8",25,"Spanish Tragedy Add."
0.053133514986376,"8",26,"Troilus and Cressida"
0.0697887970615243,"8",27,"Measure for Measure"
0.0763092269326683,"8",28,"Othello"
0,"8",29,"Sir Thomas More Iid"
0.0614334470989761,"8",30,"Alls Well"
0.0868131868131868,"8",31,"Timon"
0.0838363514419852,"8",32,"King Lear"
0.122596153846154,"8",33,"Antony and Cleopatra"
0.103289977046672,"8",34,"Macbeth"
0.0938215102974828,"8",35,"Pericles"
0.128717698683569,"8",36,"Coriolanus"
0.170963364993216,"8",37,"Winters Tale"
0.153930530164534,"8",38,"Cymbeline"
0.118945868945869,"8",39,"Tempest"
0.119842829076621,"8",40,"Henry 8"
0.128671328671329,"8",41,"Two Noble Kinsmen"
0.00613496932515337,"9",1,"Taming of the Shrew"
0.0105263157894737,"9",2,"Two Gentlemen Verona"
0.00859220092531395,"9",3,"2 Henry 6"
0.00144927536231884,"9",4,"3 Henry 6"
0.00200803212851406,"9",5,"1 Henry 6"
0.0035799522673031,"9",6,"Titus Andronicus"
0.00822368421052632,"9",7,"Richard 3"
0.00664451827242525,"9",8,"Edward 3"
0.00256081946222791,"9",9,"Comedy of Errors"
0.00968523002421308,"9",10,"Loves Labours Lost"
0.0120603015075377,"9",11,"Midsummer Nights Dream"
0.00768386388583974,"9",12,"Richard 2"
0.0115221346270467,"9",13,"Romeo and Juliet"
0.015513897866839,"9",14,"King John"
0.0131578947368421,"9",15,"1 Henry 4"
0.00898203592814371,"9",16,"Merchant of Venice"
0.0135338345864662,"9",17,"2 Henry 4"
0.0333333333333333,"9",18,"Merry Wives"
0.0191256830601093,"9",19,"Much Ado"
0.0127737226277372,"9",20,"Henry 5"
0.0131826741996234,"9",21,"Julius Caesar"
0.00511073253833049,"9",22,"As You Like It"
0.0106524633821571,"9",23,"Hamlet"
0.00910746812386157,"9",24,"Twelfth Night"
0.0111731843575419,"9",25,"Spanish Tragedy Add."
0.0129427792915531,"9",26,"Troilus and Cressida"
0.0128558310376492,"9",27,"Measure for Measure"
0.0209476309226933,"9",28,"Othello"
0,"9",29,"Sir Thomas More Iid"
0.0170648464163823,"9",30,"Alls Well"
0.0241758241758242,"9",31,"Timon"
0.0268276324614353,"9",32,"King Lear"
0.0514423076923077,"9",33,"Antony and Cleopatra"
0.0260137719969396,"9",34,"Macbeth"
0.0480549199084668,"9",35,"Pericles"
0.0570453437347635,"9",36,"Coriolanus"
0.060153776571687,"9",37,"Winters Tale"
0.0683729433272395,"9",38,"Cymbeline"
0.0605413105413105,"9",39,"Tempest"
0.0599214145383104,"9",40,"Henry 8"
0.0447552447552448,"9",41,"Two Noble Kinsmen"
